"col0"
"day06/src/App.js:<16,10>--<16,14>~~~add_dot_current_value"
"day06/src/App.js:<24,14>--<24,18>~~~add_dot_current_value"
"day06/src/App.js:<42,35>--<42,39>~~~add_dot_current_value"
"day12/src/App.js:<36,25>--<36,30>~~~add_dot_current_value"
"day12/src/App.js:<101,32>--<101,37>~~~add_dot_current_value"
"day12/src/App.js:<102,25>--<102,30>~~~add_dot_current_value"
"day14/src/App.js:<107,16>--<107,20>~~~add_dot_current_value"
"day14/src/App.js:<132,47>--<132,51>~~~add_dot_current_value"
"day16/client/src/components/Login.js:<16,23>--<16,35>~~~add_dot_current_value"
"day16/client/src/components/Login.js:<17,23>--<17,35>~~~add_dot_current_value"
"day16/client/src/components/Register.js:<16,21>--<16,36>~~~add_dot_current_value"
"day16/client/src/components/Register.js:<17,21>--<17,36>~~~add_dot_current_value"
"day18/src/App.js:<42,35>--<42,39>~~~add_dot_current_value"
"day18/src/App.js:<81,47>--<81,51>~~~add_dot_current_value"
"day19/src/App.js:<14,64>--<14,67>~~~add_dot_current_value"
"day19/src/App.js:<17,92>--<17,95>~~~add_dot_current_value"
"day19/src/App.js:<25,53>--<25,56>~~~add_dot_current_value"
"day21/client/src/components/Login.js:<16,23>--<16,35>~~~add_dot_current_value"
"day21/client/src/components/Login.js:<17,23>--<17,35>~~~add_dot_current_value"
"day21/client/src/components/Register.js:<16,21>--<16,36>~~~add_dot_current_value"
"day21/client/src/components/Register.js:<17,21>--<17,36>~~~add_dot_current_value"
