Database,p1,p2,p3,p4,p5
requestly,28,207,377,11,215
Surrealist,0,33,71,1,37
theta-client,0,33,4,3,18
Stonks,9,6,37,0,3
loomies-mobile,0,12,19,4,18
TypeWriter,0,1,37,0,4
redshape,0,14,12,0,11
tequila-train,0,16,14,0,5
violet,0,16,15,0,2
cfn-tracker,0,4,20,2,7
mdSilo-spc,3,7,9,0,8
flipo-flashcards,0,11,6,1,7
refined-now-playing-netease,0,17,2,0,4
RecordMoney,0,8,6,0,8
project-algorithmic-trading,1,1,19,0,1
zLib-Web,2,0,15,0,1
tomato-toolkit,0,0,18,0,0
arisstudio-blockly,0,2,12,0,2
starship,0,3,10,0,2
csi-conference-frontend,0,2,13,0,0
spy-extension,1,0,13,0,0
start-page,2,4,5,0,3
obsidian-ai-research-assistant,1,5,2,0,5
nos2x-fox,6,2,3,0,1
Foundry-Pro-Chrome-Extension,0,1,9,0,2
chicken-coop,2,3,7,0,0
ASA-Samples-Web-Application,0,4,4,0,3
react-native-quran-app,0,0,9,0,2
notebook-vis-integration,0,4,3,0,3
electron-installer,0,1,4,0,4
science-cup,0,1,3,2,3
platformdemo-1-0-2-39065,1,0,6,0,2
JalapenoHotties,3,1,5,0,0
prototype-css,3,4,2,0,0
Server-Status,0,1,7,0,0
sigarra-extension,1,0,6,0,1
epitech-competencies-stats,0,1,6,0,1
husky,0,4,3,0,0
css-fx-layout,0,1,5,0,0
chatgpt-browser-extension,1,1,3,0,1
NBTJam,1,3,1,0,0
language-shadow,0,1,3,0,0
react-block-ui,0,0,3,0,1
qr-code-generator-mobile-app,0,3,1,0,0
farm-ng-core,0,0,3,0,0
hogwarts-legacy-save-editor,0,0,3,0,0
TwitchKillMe,0,1,2,0,0
hifistreamer-app,0,0,3,0,0
laser-shooting,0,0,3,0,0
talk-with-chatgpt,0,0,2,0,0
Fokasu,0,0,1,0,1
LinkQuik,0,0,2,0,0
logseq-powerblocks-plugin,1,0,0,0,0
klarna-payments-for-woocommerce,0,0,1,0,0
aws-sdk-js-v3,0,0,1,0,0
react-electron-app,0,0,1,0,0
baklava,0,0,1,0,0
francy,0,0,0,0,0
ByConity,0,0,0,0,0
TJMC-Launcherco,0,0,0,0,0
retrolab,0,0,0,0,0
yaxunit,0,0,0,0,0
w3-total-cache,0,0,0,0,0
connect-button,0,0,0,0,0
PCFControls,0,0,0,0,0
voici,0,0,0,0,0
MapStoreExtension,0,0,0,0,0
PCF.MultiSwitch,0,0,0,0,0
GaijinApplicationPlatform,0,0,0,0,0
vectis,0,0,0,0,0
lifterlms-labs,0,0,0,0,0
tauri-action-testbed,0,0,0,0,0
joomla-sso-plugin,0,0,0,0,0
amateur-tv,0,0,0,0,0
tutors,0,0,0,0,0
