Database,p1,p2,p3,p4,p5
30days-30projects,13,11,38,1,1
healthCare,2,9,39,0,0
TypeWriter,0,1,37,0,4
honey-rae-repairs,12,4,22,0,3
csi-conference-frontend,0,2,13,0,0
chicken-coop,2,3,7,0,0
26-react-star-wars-hooks,0,0,8,0,1
16-feb-react-grupo-1,0,1,5,0,1
hackaton-euraz-2023,0,3,4,0,0
CRUD-Context-React,0,0,4,0,2
css-fx-layout,0,1,5,0,0
age-react,0,0,3,0,2
CashTrackr,0,0,1,0,3
hacker-news-app-2023,1,1,2,0,0
API-Search,0,0,2,0,1
Calculadora,0,0,1,0,2
farm-ng-core,0,0,3,0,0
hooksMixed-1,1,0,2,0,0
laser-shooting,0,0,3,0,0
TwitchKillMe,0,1,2,0,0
AI-chat-powered-by-open-ai-api-react-node,1,0,1,0,0
fokasu,0,0,1,0,1
baklava,0,0,1,0,0
