"col0"
"src/components/auth/Login.js:<41,29>--<41,67>~~~onChange_to_ref???{varName:email}"
"src/components/auth/Register.js:<62,28>--<62,52>~~~onChange_to_ref???{varName:customer}"
"src/components/auth/Register.js:<68,28>--<68,52>~~~onChange_to_ref???{varName:customer}"
"src/components/auth/Register.js:<73,28>--<77,22>~~~onChange_to_ref???{varName:customer}"
"src/components/profile/CustomerForm.js:<50,25>--<56,25>~~~onChange_to_ref???{varName:profile}"
"src/components/profile/CustomerForm.js:<65,25>--<71,25>~~~onChange_to_ref???{varName:profile}"
"src/components/profile/EmployeeForm.js:<55,25>--<61,25>~~~onChange_to_ref???{varName:profile}"
"src/components/profile/EmployeeForm.js:<70,25>--<76,25>~~~onChange_to_ref???{varName:profile}"
"src/components/tickets/TicketEdit.js:<42,25>--<46,26>~~~onChange_to_ref???{varName:ticket}"
"src/components/tickets/TicketEdit.js:<55,25>--<59,26>~~~onChange_to_ref???{varName:ticket}"
"src/components/tickets/TicketForm.js:<57,25>--<61,26>~~~onChange_to_ref???{varName:ticket}"
"src/components/tickets/TicketForm.js:<69,25>--<73,26>~~~onChange_to_ref???{varName:ticket}"
