"col0"
"src/App.tsx:<8,1>--<18,1>~~~component_no_props"
"src/components/CaughtLoomiesGrid/CaughtLoomieCard.tsx:<43,29>--<53,3>~~~component_no_props"
"src/components/EmptyMessage.tsx:<18,24>--<28,3>~~~component_no_props"
"src/components/FloatingRedIcon.tsx:<21,19>--<28,3>~~~component_no_props"
"src/components/Map3D/Map3D.tsx:<6,22>--<13,1>~~~component_no_props"
"src/components/Map3D/Map3DEngine.tsx:<55,28>--<487,1>~~~component_no_props"
"src/components/Modals/Capture/ModalCongratsCapture.tsx:<9,37>--<55,1>~~~component_no_props"
"src/components/Modals/Combat/LoomieCombatCard.tsx:<44,29>--<54,3>~~~component_no_props"
"src/components/Modals/Gyms/ModalGym.tsx:<18,25>--<202,1>~~~component_no_props"
"src/components/Modals/Gyms/ModalUpdateProtectors.tsx:<14,38>--<170,1>~~~component_no_props"
"src/components/Modals/Gyms/ModalUpdateProtectors.tsx:<100,25>--<123,3>~~~component_no_props"
"src/components/Modals/Gyms/ModalUpdateProtectors.tsx:<125,31>--<148,3>~~~component_no_props"
"src/navigation/BottomNavigation.tsx:<31,33>--<77,1>~~~component_no_props"
"src/navigation/StackNavigation.tsx:<22,32>--<70,1>~~~component_no_props"
"src/pages/UserLoomies.tsx:<78,25>--<97,3>~~~component_no_props"
"src/skeletons/CaughtLoomiesGrid/CaughtLoomieCardSkeleton.tsx:<6,41>--<27,1>~~~component_no_props"
"src/skeletons/CaughtLoomiesGrid/LoomiesGridSkeleton.tsx:<5,36>--<17,1>~~~component_no_props"
"src/skeletons/ItemsGrid/ItemCardSkeleton.tsx:<6,33>--<26,1>~~~component_no_props"
"src/skeletons/ItemsGrid/ItemsGridSkeleton.tsx:<5,33>--<17,1>~~~component_no_props"
