"col0"
"content-scripts/components/Navbar/HeaderAuthentication.tsx:<25,30>--<25,78>~~~use_callback"
"content-scripts/components/Navbar/HeaderAuthentication.tsx:<112,26>--<112,60>~~~use_callback"
"content-scripts/pages/components_page.tsx:<104,34>--<104,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<109,34>--<109,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<114,34>--<114,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<119,34>--<119,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<124,34>--<124,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<129,34>--<129,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<134,34>--<134,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<139,34>--<139,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<143,34>--<143,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<148,34>--<148,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<153,34>--<153,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<158,34>--<158,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<163,34>--<163,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<169,34>--<169,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<175,34>--<175,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<180,34>--<180,72>~~~use_callback"
"content-scripts/pages/components_page.tsx:<185,34>--<185,72>~~~use_callback"
