"col0"
"newtab/index.tsx:<19,15>--<19,25>~~~add_dot_current"
"newtab/index.tsx:<28,11>--<28,21>~~~add_dot_current"
"newtab/index.tsx:<28,27>--<28,35>~~~add_dot_current"
"newtab/index.tsx:<34,39>--<34,49>~~~add_dot_current"
"newtab/index.tsx:<35,111>--<35,119>~~~add_dot_current"
"newtab/index.tsx:<48,7>--<48,17>~~~add_dot_current"
"newtab/index.tsx:<48,20>--<48,28>~~~add_dot_current"
"newtab/index.tsx:<53,11>--<53,21>~~~add_dot_current"
"newtab/index.tsx:<53,27>--<53,35>~~~add_dot_current"
"newtab/index.tsx:<59,39>--<59,49>~~~add_dot_current"
"newtab/index.tsx:<60,120>--<60,128>~~~add_dot_current"
"newtab/index.tsx:<73,7>--<73,17>~~~add_dot_current"
"newtab/index.tsx:<73,20>--<73,28>~~~add_dot_current"
"options/ShortcutItemOption.tsx:<27,9>--<27,21>~~~add_dot_current"
"options/ShortcutItemOption.tsx:<29,25>--<29,37>~~~add_dot_current"
"options/ShortcutItemOption.tsx:<37,36>--<37,48>~~~add_dot_current"
"options/ShortcutItemOption.tsx:<39,31>--<39,43>~~~add_dot_current"
"options/ShortcutItemOption.tsx:<42,43>--<42,55>~~~add_dot_current"
"options/ShortcutItemOption.tsx:<51,7>--<51,19>~~~add_dot_current"
