"col0"
"src/background.js:<153,6>--<153,11>~~~add_dot_current"
"src/background.js:<353,7>--<353,12>~~~add_dot_current"
"src/compatibility-check.js:<241,6>--<241,12>~~~add_dot_current"
"src/context-menu.js:<19,18>--<19,25>~~~add_dot_current"
"src/context-menu.js:<54,6>--<54,13>~~~add_dot_current"
"src/cover-shadow.js:<58,6>--<58,9>~~~add_dot_current"
"src/lyrics.js:<25,21>--<25,25>~~~add_dot_current"
"src/lyrics.js:<27,17>--<27,21>~~~add_dot_current"
"src/lyrics.js:<28,6>--<28,10>~~~add_dot_current"
"src/lyrics.js:<29,10>--<29,14>~~~add_dot_current"
"src/lyrics.js:<210,14>--<210,27>~~~add_dot_current"
"src/lyrics.js:<210,105>--<210,117>~~~add_dot_current"
"src/lyrics.js:<261,8>--<261,30>~~~add_dot_current"
"src/lyrics.js:<264,9>--<264,20>~~~add_dot_current"
"src/lyrics.js:<267,15>--<267,37>~~~add_dot_current"
"src/lyrics.js:<272,9>--<272,17>~~~add_dot_current"
"src/lyrics.js:<285,9>--<285,17>~~~add_dot_current"
"src/lyrics.js:<298,9>--<298,17>~~~add_dot_current"
"src/lyrics.js:<311,9>--<311,19>~~~add_dot_current"
"src/lyrics.js:<312,28>--<312,42>~~~add_dot_current"
"src/lyrics.js:<314,59>--<314,73>~~~add_dot_current"
"src/lyrics.js:<332,35>--<332,57>~~~add_dot_current"
"src/lyrics.js:<342,41>--<342,71>~~~add_dot_current"
"src/lyrics.js:<406,36>--<406,58>~~~add_dot_current"
"src/lyrics.js:<408,3>--<408,25>~~~add_dot_current"
"src/lyrics.js:<409,20>--<409,33>~~~add_dot_current"
"src/lyrics.js:<410,13>--<410,21>~~~add_dot_current"
"src/lyrics.js:<410,24>--<410,32>~~~add_dot_current"
"src/lyrics.js:<410,35>--<410,43>~~~add_dot_current"
"src/lyrics.js:<410,46>--<410,56>~~~add_dot_current"
"src/lyrics.js:<410,59>--<410,73>~~~add_dot_current"
"src/lyrics.js:<413,3>--<413,33>~~~add_dot_current"
"src/lyrics.js:<414,3>--<414,14>~~~add_dot_current"
"src/lyrics.js:<415,3>--<415,15>~~~add_dot_current"
"src/lyrics.js:<470,26>--<470,37>~~~add_dot_current"
"src/lyrics.js:<681,7>--<681,27>~~~add_dot_current"
"src/lyrics.js:<692,7>--<692,27>~~~add_dot_current"
"src/lyrics.js:<699,19>--<699,39>~~~add_dot_current"
"src/progressbar-preview.js:<20,26>--<20,30>~~~add_dot_current"
"src/progressbar-preview.js:<27,20>--<27,24>~~~add_dot_current"
