"col0"
"app/src/components/features/mocksV2/MockEditorIndex/Editor/index.tsx:<247,5>--<247,17>~~~self_referential_set_state???{varName:name}"
"app/src/components/features/mocksV2/MockEditorIndex/Editor/index.tsx:<250,5>--<250,17>~~~self_referential_set_state???{varName:desc}"
"app/src/components/features/rules/RuleBuilder/RuleBuilder.js:<87,5>--<87,80>~~~self_referential_set_state???{varName:isChangeRuleGroupModalActive}"
"app/src/features/onboarding/components/recommendations/components/recommendations/components/recommendationGrid/index.tsx:<18,40>--<18,89>~~~self_referential_set_state???{varName:isImportRulesModalOpen}"
"app/src/features/pricing/components/PricingPage/components/HowToClaimVolumeDiscounts/index.jsx:<89,34>--<89,79>~~~self_referential_set_state???{varName:isContactUsModalOpen}"
"app/src/features/pricing/components/PricingPage/components/OtherWaysToMakePurchase/index.tsx:<74,34>--<74,85>~~~self_referential_set_state???{varName:isRequestQuoteModalOpen}"
"app/src/features/pricing/components/PricingPage/components/OtherWaysToMakePurchase/index.tsx:<79,34>--<79,95>~~~self_referential_set_state???{varName:isSendPurchaseOrderModalOpen}"
"app/src/features/pricing/components/PricingPage/components/OtherWaysToMakePurchase/index.tsx:<84,34>--<84,97>~~~self_referential_set_state???{varName:isBuyAdditionalSeatsModalOpen}"
"app/src/features/pricing/components/PricingPage/components/PricingPageFooter/index.tsx:<249,11>--<249,60>~~~self_referential_set_state???{varName:isRequestDocsModalOpen}"
"app/src/features/rules/screens/rulesList/components/RulesList/components/GettingStarted/CreateTeamRuleCTA/index.js:<40,5>--<40,80>~~~self_referential_set_state???{varName:isNewRuleSelectorModalActive}"
"app/src/features/rules/screens/rulesList/components/RulesList/components/GettingStarted/CreateTeamRuleCTA/index.js:<43,5>--<43,72>~~~self_referential_set_state???{varName:isImportRulesModalActive}"
"app/src/features/settings/components/Profile/ManageTeams/TeamViewer/MembersDetails/AddMemberModal/index.jsx:<71,5>--<71,56>~~~self_referential_set_state???{varName:isInviteErrorModalActive}"
"app/src/features/settings/components/Profile/ManageTeams/TeamViewer/common/MemberActionsDropdown/index.tsx:<94,30>--<94,77>~~~self_referential_set_state???{varName:isRemoveUserModalOpen}"
"app/src/layouts/DashboardLayout/DashboardContent.js:<65,5>--<65,72>~~~self_referential_set_state???{varName:isImportRulesModalActive}"
"app/src/views/features/rules/RuleEditor/components/Header/ActionButtons/DeleteButton/index.jsx:<13,5>--<13,72>~~~self_referential_set_state???{varName:isDeleteConfirmationModalActive}"
"app/src/views/features/sessions/SessionViewer/ConsoleLogs/ConsoleLogRow.tsx:<27,5>--<27,40>~~~self_referential_set_state???{varName:showFullMessage}"
"browser-extension/common/src/devtools/containers/network/details-tabs/PayloadTabContent/components/RequestBody/RequestBodyPanel.tsx:<57,15>--<57,36>~~~self_referential_set_state???{varName:isParsed}"
