"col0"
"src/components/App/modals/data-import.tsx:<489,8>--<491,3>~~~use_state_to_use_ref"
"src/components/App/modals/data-import.tsx:<492,8>--<494,3>~~~use_state_to_use_ref"
"src/components/App/modals/newsfeed.tsx:<57,8>--<57,60>~~~use_state_to_use_ref"
"src/components/GeographyMap/index.tsx:<61,8>--<61,45>~~~use_state_to_use_ref"
"src/components/Pagination/hook.tsx:<18,8>--<18,39>~~~use_state_to_use_ref"
"src/components/Pagination/hook.tsx:<19,8>--<19,51>~~~use_state_to_use_ref"
"src/components/Pagination/hook.tsx:<20,8>--<20,46>~~~use_state_to_use_ref"
"src/components/Sidekick/copilot.tsx:<21,8>--<21,57>~~~use_state_to_use_ref"
"src/components/Sidekick/copilot.tsx:<168,8>--<168,40>~~~use_state_to_use_ref"
"src/components/Sidekick/copilot.tsx:<169,8>--<169,53>~~~use_state_to_use_ref"
"src/hooks/boolean.ts:<16,8>--<16,52>~~~use_state_to_use_ref"
"src/hooks/boolean.ts:<42,8>--<42,68>~~~use_state_to_use_ref"
"src/hooks/dataset.ts:<15,8>--<15,51>~~~use_state_to_use_ref"
"src/hooks/graphql.ts:<11,8>--<11,66>~~~use_state_to_use_ref"
"src/hooks/hover-icon.ts:<19,8>--<19,51>~~~use_state_to_use_ref"
"src/hooks/keys.ts:<17,8>--<17,52>~~~use_state_to_use_ref"
"src/hooks/keys.ts:<50,8>--<50,61>~~~use_state_to_use_ref"
"src/hooks/later.ts:<13,8>--<13,53>~~~use_state_to_use_ref"
"src/hooks/panels.ts:<11,8>--<11,43>~~~use_state_to_use_ref"
"src/hooks/save.ts:<82,8>--<82,49>~~~use_state_to_use_ref"
"src/hooks/save.ts:<83,8>--<83,51>~~~use_state_to_use_ref"
"src/hooks/save.ts:<84,8>--<84,64>~~~use_state_to_use_ref"
"src/hooks/theme.ts:<40,8>--<40,71>~~~use_state_to_use_ref"
"src/hooks/timer.ts:<9,8>--<9,37>~~~use_state_to_use_ref"
"src/hooks/toggle.ts:<7,8>--<7,54>~~~use_state_to_use_ref"
"src/hooks/updater.tsx:<27,8>--<27,51>~~~use_state_to_use_ref"
"src/hooks/updater.tsx:<28,8>--<28,53>~~~use_state_to_use_ref"
"src/hooks/updater.tsx:<29,8>--<29,59>~~~use_state_to_use_ref"
"src/providers/Inspector/index.tsx:<36,8>--<36,66>~~~use_state_to_use_ref"
"src/screens/surrealist/views/functions/EditorPanel/index.tsx:<83,8>--<83,63>~~~use_state_to_use_ref"
"src/screens/surrealist/views/query/ResultPane/previews/graph.tsx:<80,8>--<80,62>~~~use_state_to_use_ref"
"src/screens/surrealist/views/query/ResultPane/previews/graph.tsx:<94,8>--<94,72>~~~use_state_to_use_ref"
"src/screens/surrealist/views/query/VariablesPane/index.tsx:<45,8>--<45,79>~~~use_state_to_use_ref"
