"col0"
"src/background.js:<135,8>--<135,43>~~~use_state_to_use_ref"
"src/compatibility-check.js:<239,8>--<239,47>~~~use_state_to_use_ref"
"src/context-menu.js:<15,8>--<15,78>~~~use_state_to_use_ref"
"src/cover-shadow.js:<15,8>--<15,50>~~~use_state_to_use_ref"
"src/lyrics.js:<24,8>--<24,50>~~~use_state_to_use_ref"
"src/lyrics.js:<64,8>--<64,55>~~~use_state_to_use_ref"
"src/lyrics.js:<73,8>--<73,75>~~~use_state_to_use_ref"
"src/lyrics.js:<80,8>--<80,57>~~~use_state_to_use_ref"
"src/lyrics.js:<83,8>--<83,77>~~~use_state_to_use_ref"
"src/lyrics.js:<84,8>--<84,77>~~~use_state_to_use_ref"
"src/lyrics.js:<85,8>--<85,77>~~~use_state_to_use_ref"
"src/lyrics.js:<86,8>--<86,83>~~~use_state_to_use_ref"
"src/lyrics.js:<87,8>--<87,98>~~~use_state_to_use_ref"
"src/lyrics.js:<92,8>--<92,152>~~~use_state_to_use_ref"
"src/lyrics.js:<93,8>--<93,85>~~~use_state_to_use_ref"
"src/lyrics.js:<97,8>--<97,75>~~~use_state_to_use_ref"
"src/progressbar-preview.js:<19,8>--<19,50>~~~use_state_to_use_ref"
