"col0"
"demos/demo-react-native/src/ListPhotos.tsx:<28,9>--<28,53>~~~use_state_to_use_ref"
"demos/demo-react-native/src/TakePhoto.tsx:<23,9>--<23,69>~~~use_state_to_use_ref"
"demos/demo-react-native/src/TakePhoto.tsx:<24,9>--<24,54>~~~use_state_to_use_ref"
"react-native/verification-tool/src/components/list-files-view/list-files-view.tsx:<48,9>--<48,67>~~~use_state_to_use_ref"
"react-native/verification-tool/src/components/list-files-view/list-files-view.tsx:<49,9>--<51,4>~~~use_state_to_use_ref"
"react-native/verification-tool/src/components/options/gps-info/gps-info-edit.tsx:<20,9>--<20,60>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/burst-capture-screen/burst-capture-screen.tsx:<32,9>--<33,42>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/burst-capture-screen/burst-capture-screen.tsx:<34,9>--<34,59>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/burst-capture-screen/burst-capture-screen.tsx:<37,9>--<37,63>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/composite-interval-capture-screen/composite-interval-capture-screen.tsx:<25,9>--<26,42>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/composite-interval-capture-screen/composite-interval-capture-screen.tsx:<27,9>--<27,59>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/composite-interval-capture-screen/composite-interval-capture-screen.tsx:<30,9>--<30,75>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/continuous-capture-screen/continuous-capture-screen.tsx:<26,9>--<27,42>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/continuous-capture-screen/continuous-capture-screen.tsx:<28,9>--<28,59>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/continuous-capture-screen/continuous-capture-screen.tsx:<31,9>--<31,68>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/limitless-interval-capture-screen/limitless-interval-capture-screen.tsx:<24,9>--<25,42>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/limitless-interval-capture-screen/limitless-interval-capture-screen.tsx:<28,9>--<28,75>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/live-preview-screen/live-preview-screen.tsx:<27,9>--<27,69>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/live-preview-screen/live-preview-screen.tsx:<29,9>--<29,54>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/multi-bracket-capture-screen/multi-bracket-capture-screen.tsx:<29,9>--<30,42>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/multi-bracket-capture-screen/multi-bracket-capture-screen.tsx:<31,9>--<31,59>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/multi-bracket-capture-screen/multi-bracket-capture-screen.tsx:<34,9>--<34,70>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/shot-count-specified-interval-capture-screen/shot-count-specified-interval-capture-screen.tsx:<28,9>--<29,42>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/shot-count-specified-interval-capture-screen/shot-count-specified-interval-capture-screen.tsx:<30,9>--<30,59>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/shot-count-specified-interval-capture-screen/shot-count-specified-interval-capture-screen.tsx:<33,9>--<34,56>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/time-shift-capture-screen/time-shift-capture-screen.tsx:<26,9>--<27,42>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/time-shift-capture-screen/time-shift-capture-screen.tsx:<28,9>--<28,59>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/time-shift-capture-screen/time-shift-capture-screen.tsx:<31,9>--<31,67>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/time-shift-manual-capture-screen/time-shift-manual-capture-screen.tsx:<26,9>--<27,42>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/time-shift-manual-capture-screen/time-shift-manual-capture-screen.tsx:<28,9>--<28,59>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/time-shift-manual-capture-screen/time-shift-manual-capture-screen.tsx:<31,9>--<31,73>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/video-capture-screen/video-capture-screen.tsx:<29,9>--<30,42>~~~use_state_to_use_ref"
"react-native/verification-tool/src/screen/video-capture-screen/video-capture-screen.tsx:<33,9>--<33,63>~~~use_state_to_use_ref"
