"col0"
"render/App.jsx:<95,7>--<95,22>~~~set_state_to_assignment_current???{varName:isReady}"
"render/components/Iframe.tsx:<60,5>--<60,19>~~~set_state_to_assignment_current???{varName:isLoaded}"
"render/components/Notification.tsx:<37,7>--<37,21>~~~set_state_to_assignment_current???{varName:isShown}"
"render/components/Notification.tsx:<43,5>--<43,19>~~~set_state_to_assignment_current???{varName:isShown}"
"render/components/Timer.tsx:<138,5>--<138,54>~~~set_state_to_assignment_current???{varName:timeMs}"
"render/components/Timer.tsx:<191,7>--<191,26>~~~set_state_to_assignment_current???{varName:timeMs}"
"render/contexts/ModalContext.tsx:<57,5>--<57,29>~~~set_state_to_assignment_current???{varName:activeModal}"
"render/contexts/ModalContext.tsx:<66,7>--<66,64>~~~set_state_to_assignment_current???{varName:activeModal}"
"render/contexts/ModalContext.tsx:<91,7>--<91,62>~~~set_state_to_assignment_current???{varName:activeModal}"
"render/contexts/ModalContext.tsx:<122,7>--<122,62>~~~set_state_to_assignment_current???{varName:activeModal}"
"render/hooks/useFetchAll.ts:<26,5>--<26,21>~~~set_state_to_assignment_current???{varName:isFetching}"
"render/hooks/useFetchAll.ts:<27,5>--<27,23>~~~set_state_to_assignment_current???{varName:error}"
"render/hooks/useFetchAll.ts:<36,9>--<36,28>~~~set_state_to_assignment_current???{varName:items}"
"render/hooks/useFetchAll.ts:<37,9>--<37,26>~~~set_state_to_assignment_current???{varName:isFetching}"
"render/hooks/useFetchAll.ts:<49,9>--<49,36>~~~set_state_to_assignment_current???{varName:error}"
"render/hooks/useFetchAll.ts:<50,9>--<50,52>~~~set_state_to_assignment_current???{varName:items}"
"render/hooks/useFetchAll.ts:<53,7>--<53,30>~~~set_state_to_assignment_current???{varName:error}"
"render/hooks/useFetchAll.ts:<56,5>--<56,22>~~~set_state_to_assignment_current???{varName:isFetching}"
"render/hooks/usePaginatedFetch.ts:<31,5>--<31,21>~~~set_state_to_assignment_current???{varName:isFetching}"
"render/hooks/usePaginatedFetch.ts:<37,7>--<37,25>~~~set_state_to_assignment_current???{varName:error}"
"render/hooks/usePaginatedFetch.ts:<40,9>--<40,37>~~~set_state_to_assignment_current???{varName:items}"
"render/hooks/usePaginatedFetch.ts:<42,9>--<42,79>~~~set_state_to_assignment_current???{varName:items}"
"render/hooks/usePaginatedFetch.ts:<45,7>--<45,83>~~~set_state_to_assignment_current???{varName:hasMore}"
"render/hooks/usePaginatedFetch.ts:<47,7>--<47,30>~~~set_state_to_assignment_current???{varName:error}"
"render/hooks/usePaginatedFetch.ts:<50,5>--<50,22>~~~set_state_to_assignment_current???{varName:isFetching}"
