"col0"
"demos/demo-react-native/src/ListPhotos.tsx:<32,5>--<32,32>~~~set_state_to_assignment_current???{varName:files}"
"demos/demo-react-native/src/TakePhoto.tsx:<53,5>--<53,19>~~~set_state_to_assignment_current???{varName:isLoaded}"
"demos/demo-react-native/src/TakePhoto.tsx:<62,9>--<62,30>~~~set_state_to_assignment_current???{varName:dataUrl}"
"react-native/verification-tool/src/components/list-files-view/list-files-view.tsx:<54,5>--<54,36>~~~set_state_to_assignment_current???{varName:selected}"
"react-native/verification-tool/src/components/list-files-view/list-files-view.tsx:<92,5>--<92,22>~~~set_state_to_assignment_current???{varName:selected}"
"react-native/verification-tool/src/components/list-files-view/list-files-view.tsx:<108,5>--<108,19>~~~set_state_to_assignment_current???{varName:selected}"
"react-native/verification-tool/src/components/list-files-view/list-files-view.tsx:<111,5>--<111,34>~~~set_state_to_assignment_current???{varName:thetaFiles}"
"react-native/verification-tool/src/components/options/gps-info/gps-info-edit.tsx:<67,5>--<67,27>~~~set_state_to_assignment_current???{varName:useGpsInfo}"
"react-native/verification-tool/src/screen/burst-capture-screen/burst-capture-screen.tsx:<90,7>--<90,39>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/burst-capture-screen/burst-capture-screen.tsx:<105,5>--<105,25>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/burst-capture-screen/burst-capture-screen.tsx:<114,5>--<114,26>~~~set_state_to_assignment_current???{varName:progress}"
"react-native/verification-tool/src/screen/burst-capture-screen/burst-capture-screen.tsx:<115,5>--<115,33>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/burst-capture-screen/burst-capture-screen.tsx:<121,11>--<121,33>~~~set_state_to_assignment_current???{varName:progress}"
"react-native/verification-tool/src/screen/burst-capture-screen/burst-capture-screen.tsx:<131,11>--<131,36>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/composite-interval-capture-screen/composite-interval-capture-screen.tsx:<73,7>--<73,39>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/composite-interval-capture-screen/composite-interval-capture-screen.tsx:<86,5>--<86,25>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/composite-interval-capture-screen/composite-interval-capture-screen.tsx:<95,5>--<95,26>~~~set_state_to_assignment_current???{varName:progress}"
"react-native/verification-tool/src/screen/composite-interval-capture-screen/composite-interval-capture-screen.tsx:<96,5>--<96,33>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/composite-interval-capture-screen/composite-interval-capture-screen.tsx:<102,11>--<102,33>~~~set_state_to_assignment_current???{varName:progress}"
"react-native/verification-tool/src/screen/composite-interval-capture-screen/composite-interval-capture-screen.tsx:<108,11>--<108,36>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/continuous-capture-screen/continuous-capture-screen.tsx:<72,7>--<72,39>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/continuous-capture-screen/continuous-capture-screen.tsx:<87,5>--<87,25>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/continuous-capture-screen/continuous-capture-screen.tsx:<96,5>--<96,26>~~~set_state_to_assignment_current???{varName:progress}"
"react-native/verification-tool/src/screen/continuous-capture-screen/continuous-capture-screen.tsx:<97,5>--<97,33>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/continuous-capture-screen/continuous-capture-screen.tsx:<107,11>--<107,33>~~~set_state_to_assignment_current???{varName:progress}"
"react-native/verification-tool/src/screen/continuous-capture-screen/continuous-capture-screen.tsx:<110,11>--<110,36>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/limitless-interval-capture-screen/limitless-interval-capture-screen.tsx:<72,7>--<72,39>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/limitless-interval-capture-screen/limitless-interval-capture-screen.tsx:<85,5>--<85,25>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/limitless-interval-capture-screen/limitless-interval-capture-screen.tsx:<94,5>--<94,33>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/limitless-interval-capture-screen/limitless-interval-capture-screen.tsx:<103,11>--<103,36>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/live-preview-screen/live-preview-screen.tsx:<80,5>--<80,19>~~~set_state_to_assignment_current???{varName:isLoaded}"
"react-native/verification-tool/src/screen/live-preview-screen/live-preview-screen.tsx:<89,9>--<89,30>~~~set_state_to_assignment_current???{varName:dataUrl}"
"react-native/verification-tool/src/screen/multi-bracket-capture-screen/multi-bracket-capture-screen.tsx:<57,7>--<57,39>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/multi-bracket-capture-screen/multi-bracket-capture-screen.tsx:<72,5>--<72,25>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/multi-bracket-capture-screen/multi-bracket-capture-screen.tsx:<81,5>--<81,26>~~~set_state_to_assignment_current???{varName:progress}"
"react-native/verification-tool/src/screen/multi-bracket-capture-screen/multi-bracket-capture-screen.tsx:<82,5>--<82,33>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/multi-bracket-capture-screen/multi-bracket-capture-screen.tsx:<88,11>--<88,33>~~~set_state_to_assignment_current???{varName:progress}"
"react-native/verification-tool/src/screen/multi-bracket-capture-screen/multi-bracket-capture-screen.tsx:<98,11>--<98,36>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/shot-count-specified-interval-capture-screen/shot-count-specified-interval-capture-screen.tsx:<78,7>--<78,39>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/shot-count-specified-interval-capture-screen/shot-count-specified-interval-capture-screen.tsx:<91,5>--<91,25>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/shot-count-specified-interval-capture-screen/shot-count-specified-interval-capture-screen.tsx:<100,5>--<100,26>~~~set_state_to_assignment_current???{varName:progress}"
"react-native/verification-tool/src/screen/shot-count-specified-interval-capture-screen/shot-count-specified-interval-capture-screen.tsx:<101,5>--<101,33>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/shot-count-specified-interval-capture-screen/shot-count-specified-interval-capture-screen.tsx:<107,11>--<107,33>~~~set_state_to_assignment_current???{varName:progress}"
"react-native/verification-tool/src/screen/shot-count-specified-interval-capture-screen/shot-count-specified-interval-capture-screen.tsx:<113,11>--<113,36>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/time-shift-capture-screen/time-shift-capture-screen.tsx:<73,7>--<73,39>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/time-shift-capture-screen/time-shift-capture-screen.tsx:<86,5>--<86,25>~~~set_state_to_assignment_current???{varName:capture}"
"react-native/verification-tool/src/screen/time-shift-capture-screen/time-shift-capture-screen.tsx:<95,5>--<95,26>~~~set_state_to_assignment_current???{varName:progress}"
"react-native/verification-tool/src/screen/time-shift-capture-screen/time-shift-capture-screen.tsx:<96,5>--<96,33>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/time-shift-capture-screen/time-shift-capture-screen.tsx:<102,11>--<102,33>~~~set_state_to_assignment_current???{varName:progress}"
"react-native/verification-tool/src/screen/time-shift-capture-screen/time-shift-capture-screen.tsx:<108,11>--<108,36>~~~set_state_to_assignment_current???{varName:capturingStatus}"
"react-native/verification-tool/src/screen/time-shift-manual-capture-screen/time-shift-manual-capture-screen.tsx:<75,7>--<75,39>~~~set_state_to_assignment_current???{varName:capture}"
