"col0"
"app/src/components/features/mocksV2/MockEditorIndex/Editor/Header/PasswordPopup/PasswordPopup.tsx:<17,9>--<17,63>~~~use_state_to_use_ref"
"app/src/components/features/mocksV2/MockEditorIndex/Editor/index.tsx:<73,9>--<73,71>~~~use_state_to_use_ref"
"app/src/components/features/rules/RenameGroupModal/index.js:<30,9>--<30,49>~~~use_state_to_use_ref"
"app/src/components/features/rules/RulePairs/Pairs/ResponseRulePair/GraphqlRequestPayload/index.tsx:<63,9>--<67,5>~~~use_state_to_use_ref"
"app/src/components/mode-specific/desktop/MySources/Sources/LaunchButtonDropDown/index.js:<15,9>--<15,67>~~~use_state_to_use_ref"
"app/src/componentsV2/modals/CreateWorkspaceModalV2/CreateWorkspaceModal.tsx:<47,9>--<47,57>~~~use_state_to_use_ref"
"app/src/features/apiClient/screens/apiClient/components/modals/ApiClientSnippetModal/ApiClientSnippetModal.tsx:<23,9>--<23,75>~~~use_state_to_use_ref"
"app/src/features/apiClient/screens/apiClient/components/sidebar/components/collectionsList/newRecordNameInput/NewRecordNameInput.tsx:<42,9>--<42,92>~~~use_state_to_use_ref"
"app/src/features/apiClient/screens/environment/components/environmentsList/components/environmentsListItem/EnvironmentsListItem.tsx:<54,9>--<54,81>~~~use_state_to_use_ref"
"app/src/features/mocks/modals/CreateOrUpdateCollectionModalWrapper/CreateOrUpdateCollectionModal/index.tsx:<46,9>--<46,59>~~~use_state_to_use_ref"
"app/src/features/mocks/modals/CreateOrUpdateCollectionModalWrapper/CreateOrUpdateCollectionModal/index.tsx:<47,9>--<47,73>~~~use_state_to_use_ref"
"app/src/features/mocks/modals/CreateOrUpdateCollectionModalWrapper/CreateOrUpdateCollectionModal/index.tsx:<48,9>--<48,59>~~~use_state_to_use_ref"
"app/src/features/mocks/modals/CreateOrUpdateCollectionModalWrapper/CreateOrUpdateCollectionModal/index.tsx:<49,9>--<49,75>~~~use_state_to_use_ref"
"app/src/features/mocks/modals/UpdateMocksCollectionModalWrapper/UpdateMocksCollectionModal/index.tsx:<39,9>--<39,55>~~~use_state_to_use_ref"
"app/src/features/mocks/modals/UpdateMocksCollectionModalWrapper/UpdateMocksCollectionModal/index.tsx:<40,9>--<40,59>~~~use_state_to_use_ref"
"app/src/features/mocks/modals/UpdateMocksCollectionModalWrapper/UpdateMocksCollectionModal/index.tsx:<41,9>--<41,59>~~~use_state_to_use_ref"
"app/src/features/rules/screens/sharedLists/components/SharedLists/modals/ImportSharedListFromURLModal/index.jsx:<12,9>--<12,47>~~~use_state_to_use_ref"
"app/src/features/settings/components/DesktopSettings/index.jsx:<23,9>--<23,49>~~~use_state_to_use_ref"
"app/src/features/settings/components/Profile/ManageTeams/TeamViewer/TeamSettings/DeleteWorkspaceModal/index.tsx:<20,9>--<20,55>~~~use_state_to_use_ref"
"app/src/features/settings/components/Profile/ManageTeams/TeamViewer/TeamSettings/index.js:<31,9>--<31,39>~~~use_state_to_use_ref"
"app/src/lib/design-system/components/RQNetworkTable/GenericNetworkTable/components/FiltersToolbar/FiltersToolbar.tsx:<16,9>--<16,72>~~~use_state_to_use_ref"
"app/src/lib/design-system-v2/components/RQBreadcrumb/RQBreadcrumb.tsx:<49,9>--<49,53>~~~use_state_to_use_ref"
"app/src/views/features/rules/RuleEditor/components/Header/EditorGroupDropdown/index.tsx:<37,9>--<37,55>~~~use_state_to_use_ref"
"app/src/views/features/sessions/SessionViewer/SessionViewerTitle.tsx:<34,9>--<34,81>~~~use_state_to_use_ref"
"app/src/views/features/sessions/SessionsIndexPageContainer/NetworkSessions/SessionSaveModal.tsx:<34,9>--<34,47>~~~use_state_to_use_ref"
"app/src/views/misc/SeleniumImporter/SeleniumImporterPage.jsx:<12,9>--<12,43>~~~use_state_to_use_ref"
