"col0"
"src/components/auth/Login.js:<13,59>--<13,63>~~~add_dot_current_value"
"src/components/auth/Login.js:<40,36>--<40,40>~~~add_dot_current_value"
"src/components/auth/Register.js:<19,34>--<19,41>~~~add_dot_current_value"
"src/components/auth/Register.js:<36,59>--<36,66>~~~add_dot_current_value"
"src/components/auth/Register.js:<51,26>--<51,33>~~~add_dot_current_value"
"src/components/auth/Register.js:<74,42>--<74,49>~~~add_dot_current_value"
"src/components/profile/CustomerForm.js:<32,42>--<32,48>~~~add_dot_current_value"
"src/components/profile/CustomerForm.js:<49,32>--<49,38>~~~add_dot_current_value"
"src/components/profile/CustomerForm.js:<52,50>--<52,56>~~~add_dot_current_value"
"src/components/profile/CustomerForm.js:<64,32>--<64,38>~~~add_dot_current_value"
"src/components/profile/CustomerForm.js:<67,50>--<67,56>~~~add_dot_current_value"
"src/components/profile/EmployeeForm.js:<35,42>--<35,48>~~~add_dot_current_value"
"src/components/profile/EmployeeForm.js:<54,32>--<54,38>~~~add_dot_current_value"
"src/components/profile/EmployeeForm.js:<57,50>--<57,56>~~~add_dot_current_value"
"src/components/profile/EmployeeForm.js:<69,32>--<69,38>~~~add_dot_current_value"
"src/components/profile/EmployeeForm.js:<72,50>--<72,56>~~~add_dot_current_value"
"src/components/tickets/TicketEdit.js:<24,32>--<24,37>~~~add_dot_current_value"
"src/components/tickets/TicketEdit.js:<26,30>--<26,35>~~~add_dot_current_value"
"src/components/tickets/TicketEdit.js:<41,32>--<41,37>~~~add_dot_current_value"
"src/components/tickets/TicketEdit.js:<43,46>--<43,51>~~~add_dot_current_value"
"src/components/tickets/TicketEdit.js:<54,34>--<54,39>~~~add_dot_current_value"
"src/components/tickets/TicketEdit.js:<56,46>--<56,51>~~~add_dot_current_value"
"src/components/tickets/TicketForm.js:<35,22>--<35,27>~~~add_dot_current_value"
"src/components/tickets/TicketForm.js:<36,20>--<36,25>~~~add_dot_current_value"
"src/components/tickets/TicketForm.js:<56,32>--<56,37>~~~add_dot_current_value"
"src/components/tickets/TicketForm.js:<58,46>--<58,51>~~~add_dot_current_value"
"src/components/tickets/TicketForm.js:<68,32>--<68,37>~~~add_dot_current_value"
"src/components/tickets/TicketForm.js:<70,46>--<70,51>~~~add_dot_current_value"
