"col0"
"src/Component/Dashboard/DashboardContextApi.jsx:<11,8>--<11,40>~~~use_state_to_use_ref"
"src/Component/Doctor Services/DoctorServicesContextApi.jsx:<8,8>--<8,40>~~~use_state_to_use_ref"
"src/Component/Patient Billing/BillingPatient.js:<55,7>--<55,33>~~~use_state_to_use_ref"
"src/Component/Patient Billing/BillingPatient.js:<56,7>--<56,45>~~~use_state_to_use_ref"
"src/Component/Patient Billing/PatiendBillingContextApi.jsx:<10,8>--<10,40>~~~use_state_to_use_ref"
"src/Component/Patient Services/MainTable.js:<30,9>--<30,48>~~~use_state_to_use_ref"
"src/Component/Patient Services/Select.js:<11,9>--<11,59>~~~use_state_to_use_ref"
"src/Component/Services/PatientServices.js:<68,9>--<68,43>~~~use_state_to_use_ref"
"src/Component/Services/PatientServices.js:<72,9>--<72,56>~~~use_state_to_use_ref"
"src/Component/Services/ServicesContextApi.jsx:<62,7>--<62,52>~~~use_state_to_use_ref"
"src/Component/Services/ServicesContextApi.jsx:<63,7>--<63,51>~~~use_state_to_use_ref"
"src/Component/Services/ServicesContextApi.jsx:<82,11>--<82,68>~~~use_state_to_use_ref"
"src/Component/Services/ServicesContextApi.jsx:<83,11>--<83,45>~~~use_state_to_use_ref"
"src/Component/Services/ServicesContextApi.jsx:<85,11>--<85,56>~~~use_state_to_use_ref"
