"col0"
"day06/src/App.js:<42,42>--<42,64>~~~onChange_to_ref???{varName:input}"
"day12/src/App.js:<102,33>--<102,55>~~~onChange_to_ref???{varName:length}"
"day14/src/App.js:<132,16>--<132,38>~~~onChange_to_ref???{varName:input}"
"day16/client/src/components/Login.js:<34,51>--<34,100>~~~onChange_to_ref???{varName:loginUsername}"
"day16/client/src/components/Login.js:<35,55>--<35,104>~~~onChange_to_ref???{varName:loginPassword}"
"day16/client/src/components/Register.js:<39,76>--<39,128>~~~onChange_to_ref???{varName:registerUsername}"
"day16/client/src/components/Register.js:<40,80>--<40,132>~~~onChange_to_ref???{varName:registerPassword}"
"day18/src/App.js:<81,16>--<81,38>~~~onChange_to_ref???{varName:input}"
"day19/src/App.js:<25,59>--<25,99>~~~onChange_to_ref???{varName:city}"
"day21/client/src/components/Login.js:<39,51>--<39,100>~~~onChange_to_ref???{varName:loginUsername}"
"day21/client/src/components/Login.js:<40,55>--<40,104>~~~onChange_to_ref???{varName:loginPassword}"
"day21/client/src/components/Register.js:<40,78>--<40,130>~~~onChange_to_ref???{varName:registerUsername}"
"day21/client/src/components/Register.js:<41,82>--<41,134>~~~onChange_to_ref???{varName:registerPassword}"
