"col0"
"day12/src/App.js:<21,11>--<21,18>~~~add_dot_current"
"day12/src/App.js:<42,17>--<42,24>~~~add_dot_current"
"day12/src/App.js:<57,29>--<57,36>~~~add_dot_current"
"day16/client/src/components/Login.js:<16,23>--<16,35>~~~add_dot_current"
"day16/client/src/components/Login.js:<17,23>--<17,35>~~~add_dot_current"
"day16/client/src/components/Register.js:<16,21>--<16,36>~~~add_dot_current"
"day16/client/src/components/Register.js:<17,21>--<17,36>~~~add_dot_current"
"day17/src/App.js:<29,58>--<29,67>~~~add_dot_current"
"day17/src/App.js:<33,16>--<33,25>~~~add_dot_current"
"day18/src/App.js:<54,36>--<54,44>~~~add_dot_current"
"day20/src/App.js:<19,18>--<19,21>~~~add_dot_current"
"day20/src/App.js:<21,14>--<21,17>~~~add_dot_current"
"day20/src/App.js:<55,32>--<55,35>~~~add_dot_current"
"day21/client/src/components/Login.js:<16,23>--<16,35>~~~add_dot_current"
"day21/client/src/components/Login.js:<17,23>--<17,35>~~~add_dot_current"
"day21/client/src/components/Register.js:<16,21>--<16,36>~~~add_dot_current"
"day21/client/src/components/Register.js:<17,21>--<17,36>~~~add_dot_current"
