"col0"
"day12/src/App.js:<6,9>--<6,47>~~~use_state_to_use_ref"
"day16/client/src/components/Login.js:<7,11>--<7,59>~~~use_state_to_use_ref"
"day16/client/src/components/Login.js:<8,11>--<8,59>~~~use_state_to_use_ref"
"day16/client/src/components/Register.js:<8,11>--<8,65>~~~use_state_to_use_ref"
"day16/client/src/components/Register.js:<9,11>--<9,65>~~~use_state_to_use_ref"
"day17/src/App.js:<7,9>--<7,50>~~~use_state_to_use_ref"
"day18/src/App.js:<9,9>--<9,48>~~~use_state_to_use_ref"
"day20/src/App.js:<13,9>--<13,41>~~~use_state_to_use_ref"
"day21/client/src/components/Login.js:<7,11>--<7,59>~~~use_state_to_use_ref"
"day21/client/src/components/Login.js:<8,11>--<8,59>~~~use_state_to_use_ref"
"day21/client/src/components/Register.js:<8,11>--<8,65>~~~use_state_to_use_ref"
"day21/client/src/components/Register.js:<9,11>--<9,65>~~~use_state_to_use_ref"
