pathToTransformations, sourceFilesTransformed, totalTransformations, componentsMemoized, stateChangedToRef, totalTime(ms)
../../rendering-optimization/transformation-source/evaluation/gorkavillara___16-feb-react-grupo-1/, 13, 32, 12, 1, 138
../../rendering-optimization/transformation-source/evaluation/TimurMP___26-react-star-wars-hooks/, 9, 18, 9, 0, 140
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 150, 39, 13, 398
../../rendering-optimization/transformation-source/evaluation/VLK2021___age-react/, 5, 10, 5, 0, 126
../../rendering-optimization/transformation-source/evaluation/karimbaggari___AI-chat-powered-by-open-ai-api-react-node/, 1, 9, 1, 1, 63
../../rendering-optimization/transformation-source/evaluation/eric-prog___API-Search/, 3, 12, 3, 1, 98
../../rendering-optimization/transformation-source/evaluation/Contimp___Calculadora/, 3, 12, 3, 0, 88
../../rendering-optimization/transformation-source/evaluation/Nishant-Bhosale___CashTrackr/, 3, 11, 3, 0, 93
../../rendering-optimization/transformation-source/evaluation/JeanSantosReyes___CRUD-Context-React/, 13, 31, 11, 0, 159
../../rendering-optimization/transformation-source/evaluation/SolarSnowLight___hackaton-euraz-2023/, 22, 101, 59, 3, 319
../../rendering-optimization/transformation-source/evaluation/junesdream___hacker-news-app-2023/, 2, 14, 2, 2, 68
../../rendering-optimization/transformation-source/evaluation/ruthhegade___healthCare/, 40, 203, 39, 27, 518
../../rendering-optimization/transformation-source/evaluation/macleann___honey-rae-repairs/, 24, 141, 25, 10, 235
../../rendering-optimization/transformation-source/evaluation/vtrev05___hooksMixed-1/, 2, 4, 2, 0, 87
../../rendering-optimization/transformation-source/evaluation/eric-prog___API-Search/, 3, 12, 3, 1, 95
../../rendering-optimization/transformation-source/evaluation/eric-prog___API-Search/, 3, 12, 3, 1, 89
../../rendering-optimization/transformation-source/evaluation/eric-prog___API-Search/, 3, 12, 3, 1, 97
../../rendering-optimization/transformation-source/evaluation/eric-prog___API-Search/, 3, 12, 3, 1, 104
../../rendering-optimization/transformation-source/evaluation/eric-prog___API-Search/, 3, 12, 3, 1, 88
../../rendering-optimization/transformation-source/evaluation/eric-prog___API-Search/, 3, 12, 3, 1, 109
../../rendering-optimization/transformation-source/evaluation/gorkavillara___16-feb-react-grupo-1/, 13, 31, 12, 1, 142
../../rendering-optimization/transformation-source/evaluation/gorkavillara___16-feb-react-grupo-1/, 13, 32, 12, 1, 138
../../rendering-optimization/transformation-source/evaluation/gorkavillara___16-feb-react-grupo-1/, 7, 20, 6, 1, 100
../../rendering-optimization/transformation-source/evaluation/gorkavillara___16-feb-react-grupo-1/, 7, 20, 6, 1, 107
../../rendering-optimization/transformation-source/evaluation/TimurMP___26-react-star-wars-hooks/, 9, 18, 9, 0, 117
../../rendering-optimization/transformation-source/evaluation/VLK2021___age-react/, 5, 10, 5, 0, 138
../../rendering-optimization/transformation-source/evaluation/eric-prog___API-Search/, 3, 6, 3, 0, 70
../../rendering-optimization/transformation-source/evaluation/Contimp___Calculadora/, 3, 12, 3, 0, 88
../../rendering-optimization/transformation-source/evaluation/Nishant-Bhosale___CashTrackr/, 3, 11, 3, 0, 95
../../rendering-optimization/transformation-source/evaluation/JeanSantosReyes___CRUD-Context-React/, 12, 28, 11, 0, 112
../../rendering-optimization/transformation-source/evaluation/SolarSnowLight___hackaton-euraz-2023/, 22, 101, 59, 3, 289
../../rendering-optimization/transformation-source/evaluation/gorkavillara___16-feb-react-grupo-1/, 7, 20, 6, 1, 88
../../rendering-optimization/transformation-source/evaluation/TimurMP___26-react-star-wars-hooks/, 9, 18, 9, 0, 98
../../rendering-optimization/transformation-source/evaluation/VLK2021___age-react/, 5, 10, 5, 0, 111
../../rendering-optimization/transformation-source/evaluation/eric-prog___API-Search/, 3, 6, 3, 0, 73
../../rendering-optimization/transformation-source/evaluation/Contimp___Calculadora/, 3, 12, 3, 0, 65
../../rendering-optimization/transformation-source/evaluation/Nishant-Bhosale___CashTrackr/, 3, 11, 3, 0, 78
../../rendering-optimization/transformation-source/evaluation/JeanSantosReyes___CRUD-Context-React/, 12, 28, 11, 0, 124
